cve,repo,label,commit_id,grit_head1,grit_head2,grit,grit_max,path,jaccard,bm25,reserve_time_diff,publish_time_diff
CVE-2018-19289,xCss@@Valine,0,8ced693524ef1b82901122b7a6037b89917fc1aa,0.5714426164003079,0.6315717656523319,0.5436200164540511,0.6068453223023916,0.0,0.0,0.0044944498069498075,0.002717391304347826,0.002717391304347826
CVE-2018-19289,xCss@@Valine,0,b4717740cc52d25063e095b71d3012f505109a79,0.0,0.0,0.5561760493597372,0.0,0.0,0.0,0.002404779603474865,0.0037593984962406013,0.0037593984962406013
CVE-2018-19289,xCss@@Valine,0,1ff57588729207803563ea21bce7e1927c81d770,0.5544010164994587,0.5681730791314644,0.5647009329254382,0.6397281991776388,0.0,0.0,0.005316891182449791,0.015384615384615385,0.015384615384615385
CVE-2018-19289,xCss@@Valine,0,ae38c99357e9567bc6af37b927512c5e8c424e17,0.6223875553354747,0.6223875553354747,0.6290458918570547,0.6223875553354747,0.0,0.0,0.004116743471582181,0.003703703703703704,0.003703703703703704
CVE-2018-19289,xCss@@Valine,0,768c63bce2e295cb23c56a371102070b3cc9dd91,0.6193126324266849,0.6193126324266849,0.6360194522834647,0.6193126324266849,0.0,0.0,0.0023875114784205694,0.0024096385542168677,0.0024096385542168677
CVE-2018-19289,xCss@@Valine,0,21fdeecc6e2391aa5000f6fa315cefc074bb059b,0.5830321773514368,0.5830321773514368,0.5925861234034586,0.5830321773514368,0.0,0.0,0.002161279029058233,0.0026954177897574125,0.0026954177897574125
CVE-2018-19289,xCss@@Valine,0,ec306f0636fca9372ebba49702e7d0f6d1f64271,0.5821738318322158,0.6503670381224808,0.5885885162529155,0.5884813061032439,0.0,0.0,0.004878618113912232,0.006329113924050633,0.006329113924050633
CVE-2018-19289,xCss@@Valine,0,5c7bdab72310ed9095cdbb5c5d363e8287f4381b,0.5342665524542796,0.5342665524542796,0.5348314038624424,0.5342665524542796,0.0,0.0,0.003146675689392658,0.006666666666666667,0.006666666666666667
CVE-2018-19289,xCss@@Valine,0,df08faf5f9011ebd9666a8e1ef517dbf6441b699,0.5365694283376481,0.6089342655502298,0.5474507592137756,0.5736905664449596,0.0,0.0,0.004577419145764469,0.013333333333333334,0.013333333333333334
CVE-2018-19289,xCss@@Valine,0,310810849e8b8c378b1a720c0e695d7096b6d331,0.5653666872065753,0.6369174402806935,0.5489793033591027,0.6300226752651339,0.0,0.0,0.003140773456057007,0.002932551319648094,0.002932551319648094
CVE-2018-19289,xCss@@Valine,0,e0ecab5d03826ba455052702ff86e98046fd8971,0.5970760775737959,0.602760178950799,0.5862986388018756,0.5970760775737959,0.0,0.0,0.0028568899332855843,0.0031545741324921135,0.0031545741324921135
CVE-2018-19289,xCss@@Valine,0,13cf50216db2a65970392e58f189b8b1ba1edc8e,0.0,0.0,0.5687992037085726,0.0,0.0,0.0,0.0022829074620787948,0.0033333333333333335,0.0033333333333333335
CVE-2018-19289,xCss@@Valine,0,7ff5f8bd38998aa09506f09dd4a8f7b881f8673f,0.5738519156026964,0.6308176573566263,0.5351060705537051,0.6173476704401843,0.0,0.0,0.003226208509903933,0.002849002849002849,0.002849002849002849
CVE-2018-19289,xCss@@Valine,0,2e18e549c4987cf5b67c8c79158a3eff6ddc4497,0.5191843212254819,0.5191843212254819,0.5225151516170743,0.5191843212254819,0.0,0.0,0.003134697264920257,0.005952380952380952,0.005952380952380952
CVE-2018-19289,xCss@@Valine,0,8f7aeeab9c8ff1255d3ca576026fbbf4702a860b,0.619252331424462,0.6070532566171537,0.5595831405918823,0.619252331424462,0.0,0.0,0.0026174203867965684,0.0022271714922048997,0.0022271714922048997
CVE-2018-19289,xCss@@Valine,0,23a08fb88f6803e3b5e9b28f4ec9b03c37c954d6,0.5732161473206641,0.6309347652594761,0.5522279182764384,0.6264668788895582,0.0,0.0,0.056757478632478625,0.002976190476190476,0.002976190476190476
CVE-2018-19289,xCss@@Valine,0,9d7ac98fac3df4ecee3a017363cef6b0ad1c73b2,0.5552809367603422,0.5552809367603422,0.5594731250620717,0.5552809367603422,0.0,0.0,0.003818014376710752,0.008771929824561403,0.008771929824561403
CVE-2018-19289,xCss@@Valine,0,d14b24b039daf2f504c11230c40fb6560fe96fe5,0.5637982249148255,0.5637982249148255,0.5887032056923663,0.5637982249148255,0.0,0.0,0.07510504201680672,0.014492753623188406,0.014492753623188406
CVE-2018-19289,xCss@@Valine,0,62f5ff7b0222d4ddeb0b08bb8b03c70c863c6fcc,0.5923252117264861,0.5919158252623146,0.5558007303505623,0.5923252117264861,0.0,0.0,0.00926931957082711,0.008403361344537815,0.008403361344537815
CVE-2018-19289,xCss@@Valine,0,4dab6d63e6a89ee20892527c0e8775412083b15f,0.6203249253805856,0.6203249253805856,0.6253030494414533,0.6203249253805856,0.0,0.0,0.0026004559703619264,0.0041841004184100415,0.0041841004184100415
CVE-2018-19289,xCss@@Valine,0,224b860768bede0fb8105604d4c620001b3947d7,0.6304638384747339,0.6389597098306677,0.6164004743101889,0.6304638384747339,0.0,0.0,0.004087170916552215,0.005235602094240838,0.005235602094240838
CVE-2018-19289,xCss@@Valine,0,c55e75558d09d1322b72109d104bc2564eb46f87,0.6313396106735472,0.6027790615164157,0.6171556016031343,0.6313396106735472,0.0,0.0,0.0024611337285431996,0.002577319587628866,0.002577319587628866
CVE-2018-19289,xCss@@Valine,0,39674f3969b7debb56adcb3660697762090bfea8,0.0,0.0,0.5845503158894898,0.0,0.0,0.0,0.010375581849838326,0.037037037037037035,0.037037037037037035
CVE-2018-19289,xCss@@Valine,0,ef91918dd70b6ba032a78c1d0d8cb2f0dd0d16a5,0.48524575790471575,0.48524575790471575,0.502550909114925,0.48524575790471575,0.0,0.0,0.005257756242008211,0.01694915254237288,0.01694915254237288
CVE-2018-19289,xCss@@Valine,0,9ef5fe78ce27d840336063c58c0cc61364f314ce,0.5297589120180355,0.5335138763558491,0.5664076240564865,0.5689895446937463,0.0,0.0,0.002348770462565099,0.002638522427440633,0.002638522427440633
