,owner,repo,mrr,recall100,recall500,recall1000,recall2000,recall5000,commit_count,cve_count
92,LinOTP,LinOTP,0.02941176471,1.0,1.0,1.0,1.0,1.0,7530,1
93,numpy,numpy,0.1268505157,0.6666666667,0.6666666667,1.0,1.0,1.0,75949,3
94,vitejs,vite,0.05943490329,0.75,1.0,1.0,1.0,1.0,7528,4
95,lxml,lxml,0.362962963,0.9444444444,0.9444444444,0.9444444444,0.9444444444,1.0,6468,6
96,openstack,ceilometer,1.0,1.0,1.0,1.0,1.0,1.0,7392,1
97,eclipse-theia,theia,0.008970233307,0.0,1.0,1.0,1.0,1.0,7380,2
98,ansible,ansible,0.164415552,0.5882352941,0.6470588235,0.6470588235,0.7058823529,0.8823529412,54793,17
99,docker,docker,0.03146686522,0.25,0.25,0.25,0.25,1.0,51442,4
100,jquery,jquery-ui,0.5895833333,0.875,1.0,1.0,1.0,1.0,7377,4
101,wandb,weave,0.02325581395,1.0,1.0,1.0,1.0,1.0,7293,1
102,nuxt,nuxt,0.001257861635,0.0,0.0,0.5,1.0,1.0,7266,1
103,apache,openmeetings,0.09128289474,0.9166666667,1.0,1.0,1.0,1.0,7257,4
104,coredns,coredns,0.008900989581,0.5,1.0,1.0,1.0,1.0,7250,2
105,python-pillow,Pillow,0.1718622189,0.585399449,0.7878787879,0.8787878788,0.9696969697,1.0,19173,33
106,hornetq,hornetq,0.007518796992,0.0,1.0,1.0,1.0,1.0,11121,1
107,keycloak,keycloak,0.0748131231,0.2727272727,0.7272727273,0.9090909091,0.9545454545,0.9545454545,27405,22
108,PrismJS,prism,0.1147478639,0.5,1.0,1.0,1.0,1.0,7208,4
109,mayan-edms,mayan-edms,0.04166666667,1.0,1.0,1.0,1.0,1.0,11777,1
110,balderdashy,sails,0.2083333333,1.0,1.0,1.0,1.0,1.0,7196,2
111,codemirror,CodeMirror,0.01136363636,1.0,1.0,1.0,1.0,1.0,7174,1
112,Ylianst,MeshCentral,0.05030891439,0.5,1.0,1.0,1.0,1.0,7162,2
113,shuup,shuup,0.03412322275,0.5,0.5,1.0,1.0,1.0,7104,2
114,apache,thrift,0.6923076923,1.0,1.0,1.0,1.0,1.0,7104,3
115,TypedProject,tsed,0.0243902439,1.0,1.0,1.0,1.0,1.0,7100,1
116,pygments,pygments,0.3426959325,0.75,0.75,1.0,1.0,1.0,6998,4
117,dbt-labs,dbt-core,0.04166666667,1.0,1.0,1.0,1.0,1.0,6984,1
118,droolsjbpm,drools,1.0,1.0,1.0,1.0,1.0,1.0,17443,1
119,richfaces,richfaces,0.0007153075823,0.0,0.0,0.0,1.0,1.0,6975,1
120,gogs,gogs,0.3968012697,0.9285714286,1.0,1.0,1.0,1.0,6064,14
121,pypa,pip,0.04794801888,0.5,1.0,1.0,1.0,1.0,14989,4
122,reportportal,service-api,0.03799739074,0.5,1.0,1.0,1.0,1.0,6954,2
123,google,guava,0.3333333333,1.0,1.0,1.0,1.0,1.0,6785,2
124,elves,elvish,0.2,1.0,1.0,1.0,1.0,1.0,6759,1
125,jquery,jquery,0.1483783427,0.5,0.75,0.75,0.875,1.0,6749,4
126,localstack,localstack,0.003571428571,0.0,1.0,1.0,1.0,1.0,6748,1
127,graphhopper,graphhopper,0.005405405405,0.0,1.0,1.0,1.0,1.0,6690,1
128,quic-go,quic-go,0.01408450704,1.0,1.0,1.0,1.0,1.0,6676,1
129,lxc,lxd,0.01960784314,1.0,1.0,1.0,1.0,1.0,35605,1
