,owner,repo,mrr,recall100,recall500,recall1000,recall2000,recall5000,recall10000,commit_count,cve_count,Unnamed: 11
61,zmartzone,mod_auth_openidc,0.1997698069,1.0,1.0,1.0,1.0,1.0,1.0,1774.0,6,0.3739088413
62,flatpak,flatpak,0.2639072916,0.8333333333,1.0,1.0,1.0,1.0,1.0,7502.0,6,0.5522788066
63,DanBloomberg,leptonica,0.7286324786,1.0,1.0,1.0,1.0,1.0,1.0,1494.0,6,0.05178772463
64,jedisct1,pure-ftpd,0.7066666667,1.0,1.0,1.0,1.0,1.0,1.0,1056.0,5,0.4771934976
65,postgres,postgres,0.4990116801,1.0,1.0,1.0,1.0,1.0,1.0,73556.0,5,0.389222561
66,lxc,lxc,0.4543650794,1.0,1.0,1.0,1.0,1.0,1.0,9540.0,5,0.6507598784
67,git,git,0.2239960856,0.8,1.0,1.0,1.0,1.0,1.0,56257.0,5,0.1778325886
68,torproject,tor,0.4577631579,1.0,1.0,1.0,1.0,1.0,1.0,36315.0,5,0.7255952381
69,tats,w3m,0.1882924469,0.6,1.0,1.0,1.0,1.0,1.0,2725.0,5,0.4558922559
70,madler,zlib,0.2906182796,1.0,1.0,1.0,1.0,1.0,1.0,681.0,5,0.172798465
71,MariaDB,server,0.2899243143,0.6,0.8,1.0,1.0,1.0,1.0,100000.0,5,0.9355119826
72,libimobiledevice,libplist,0.3441666667,1.0,1.0,1.0,1.0,1.0,1.0,993.0,5,0.9888888889
73,wolfSSL,wolfssl,0.2363442096,0.8,1.0,1.0,1.0,1.0,1.0,17144.0,5,0.2295942341
74,libexif,libexif,0.1100998348,1.0,1.0,1.0,1.0,1.0,1.0,1433.0,5,0.5777777778
75,facebook,proxygen,0.4683251874,0.8,0.8,0.8,1.0,1.0,1.0,13463.0,5,0.996969697
76,thorfdbg,libjpeg,0.7666666667,1.0,1.0,1.0,1.0,1.0,1.0,86.0,5,0.7509803922
77,taglib,taglib,0.3067359855,1.0,1.0,1.0,1.0,1.0,1.0,2217.0,4,0.6568627451
78,mm2,Little-CMS,0.1652094718,1.0,1.0,1.0,1.0,1.0,1.0,998.0,4,0.1893126791
79,karelzak,util-linux,0.2581485431,0.75,0.75,1.0,1.0,1.0,1.0,18859.0,4,0.55275
80,apache,httpd,0.2690483878,0.75,0.75,1.0,1.0,1.0,1.0,34064.0,4,0.7423076923
81,bro,bro,0.6333333333,1.0,1.0,1.0,1.0,1.0,1.0,11247.0,4,0.1040092175
82,plougher,squashfs-tools,0.3105891936,0.75,1.0,1.0,1.0,1.0,1.0,3448.0,4,0.280433208
83,libgit2,libgit2,0.219047619,1.0,1.0,1.0,1.0,1.0,1.0,12149.0,4,0.2199622559
85,miniupnp,ngiflib,0.6666666667,1.0,1.0,1.0,1.0,1.0,1.0,147.0,4,0.8277777778
86,libvips,libvips,0.4730392157,1.0,1.0,1.0,1.0,1.0,1.0,7326.0,4,0.6155119826
87,ccxvii,mujs,0.6333333333,1.0,1.0,1.0,1.0,1.0,1.0,759.0,4,0.9833333333
88,linuxdeepin,deepin-clone,0.3857142857,1.0,1.0,1.0,1.0,1.0,1.0,289.0,4,0.8555555556
90,upx,upx,0.3022788066,0.5,1.0,1.0,1.0,1.0,1.0,4244.0,4,0.9825396825
92,facebook,fbthrift,0.2521934976,0.25,1.0,1.0,1.0,1.0,1.0,27564.0,4,0.03390413822
93,ValveSoftware,GameNetworkingSockets,0.08922256098,1.0,1.0,1.0,1.0,1.0,1.0,1385.0,4,0.8668324217
94,SELinuxProject,selinux,0.3757598784,0.75,1.0,1.0,1.0,1.0,1.0,3917.0,4,0.5518518519
96,open5gs,open5gs,0.4255952381,1.0,1.0,1.0,1.0,1.0,1.0,4467.0,4,1.077777778
97,Ettercap,ettercap,0.2225589226,0.6666666667,0.6666666667,1.0,1.0,1.0,1.0,2547.0,3,0.4137566138
99,rsyslog,rsyslog,0.6688453159,0.6666666667,1.0,1.0,1.0,1.0,1.0,11529.0,3,0.9343137255
100,OpenVPN,openvpn,0.6888888889,1.0,1.0,1.0,1.0,1.0,1.0,3946.0,3,0.644754522
102,phusion,passenger,0.2777777778,1.0,1.0,1.0,1.0,1.0,1.0,8621.0,3,0.2084478813
103,quassel,quassel,0.696969697,1.0,1.0,1.0,1.0,1.0,1.0,4631.0,3,0.5555555556
104,illumos,illumos-gate,0.4509803922,1.0,1.0,1.0,1.0,1.0,1.0,22500.0,3,0.6333333333
105,atheme,atheme,0.3568627451,1.0,1.0,1.0,1.0,1.0,1.0,11245.0,3,0.7534534535
108,libav,libav,0.4423076923,1.0,1.0,1.0,1.0,1.0,1.0,44853.0,3,0.9722222222
112,GNOME,libxml2,0.2420634921,1.0,1.0,1.0,1.0,1.0,1.0,7151.0,3,0.1526301218
113,heimdal,heimdal,0.5277777778,1.0,1.0,1.0,1.0,1.0,1.0,30765.0,3,0.4067567568
114,apple,cups,0.3488453159,0.6666666667,1.0,1.0,1.0,1.0,1.0,2426.0,3,0.5166666667
115,Yeraze,ytnef,0.6833333333,1.0,1.0,1.0,1.0,1.0,1.0,298.0,3,1.3
116,antlarr,audiofile,0.5555555556,1.0,1.0,1.0,1.0,1.0,1.0,379.0,3,0.3516233766
117,cesanta,mongoose,0.3446167097,1.0,1.0,1.0,1.0,1.0,1.0,4897.0,3,0.2799389779
118,weechat,weechat,0.6825396825,1.0,1.0,1.0,1.0,1.0,1.0,12984.0,3,0.9666666667
119,igrr,axtls-8266,0.5555555556,1.0,1.0,1.0,1.0,1.0,1.0,315.0,3,0.8833333333
121,facebook,folly,0.6668324217,0.6666666667,0.6666666667,0.6666666667,0.6666666667,1.0,1.0,13724.0,3,0.9666666667
122,hoene,libmysofa,0.3518518519,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,326.0,3,0.8294117647
124,libming,libming,0.7777777778,1.0,1.0,1.0,1.0,1.0,1.0,3157.0,3,0.8625
125,stephane,libmodbus,0.1137566138,1.0,1.0,1.0,1.0,1.0,1.0,867.0,3,0.0
126,gopro,gpmf-parser,0.05614705615,1.0,1.0,1.0,1.0,1.0,1.0,363.0,3,0.8135135135
