,owner,repo,avg_patch_token_count
1694,micronaut-projects,micronaut-core,3569.8333333333335
786,elves,elvish,3549.0
2231,spring-projects,spring-boot,3540.8
1031,hazelcast,hazelcast,3529.3333333333335
908,geosolutions-it,jai-ext,3528.0
393,apache,shiro,3527.0
975,gradio-app,gradio,3525.5625
442,argoproj,argo-workflows,3513.0
607,codenameone,CodenameOne,3511.0
261,adobe,css-tools,3508.0
2451,wso2,carbon-identity-framework,3503.0
2396,visjs,vis-timeline,3501.0
2037,python-bugzilla,python-bugzilla,3500.0
2472,xwikisas,identity-oauth,3496.0
352,apache,incubator-answer,3489.0
1308,jenkinsci,logstash-plugin,3479.0
194,SagerNet,sing-box,3464.0
2453,x-stream,xstream,3458.0
2172,sigstore,rekor,3455.5
526,browserslist,browserslist,3443.0
1190,jenkinsci,cavisson-ns-nd-integration-plugin,3436.6666666666665
2232,spring-projects,spring-framework,3430.28
154,OneUptime,oneuptime,3417.0
2244,sqlfluff,sqlfluff,3413.0
390,apache,servicecomb-java-chassis,3404.5
2438,widgetti,solara,3402.0
1529,khoj-ai,khoj,3395.0
2173,sigstore,sigstore-go,3384.0
1382,jenkinsci,seleniumhtmlreport-plugin,3359.0
1684,mermaid-js,zenuml-core,3358.0
705,distribution,distribution,3335.5
1574,langchain-ai,langchainjs,3329.0
1098,ionicabizau,parse-path,3328.0
113,KyleRoss,windows-cpu,3326.0
313,anymail,django-anymail,3312.5
884,foxcpp,maddy,3307.6666666666665
935,go-vela,worker,3304.0
822,expressjs,serve-index,3300.0
2400,voila-dashboards,voila,3299.0
846,fastify,fastify-secure-session,3273.0
1324,jenkinsci,mq-notifier-plugin,3265.0
814,excalidraw,excalidraw,3256.0
519,brianvoe,slim-select,3255.0
1086,indico,indico,3252.0
1007,handlebars-lang,handlebars.js,3237.0
938,goauthentik,authentik,3236.0
376,apache,nifi-registry,3235.0
284,alist-org,alist,3234.0
1306,jenkinsci,liquibase-runner-plugin,3228.4
1790,netty,netty,3218.8333333333335
2052,pywbem,pywbem,3206.0
972,gorilla,websocket,3201.0
495,beobal,cassandra,3195.0
962,google,tink,3189.0
2475,yaml,pyyaml,3188.0
1869,opencontainers,runc,3179.0
279,alerta,alerta,3172.0
838,fastify,fastify,3166.6666666666665
2387,vert-x3,vertx-stomp,3150.0
2429,webrecorder,pywb,3133.0
1705,minio,minio,3132.2
406,apache,syncope,3129.6666666666665
94,IoFinnet,threshlib,3126.0
150,OWASP,json-sanitizer,3123.0
149,OWASP,java-html-sanitizer,3119.0
1512,jupyterlab,jupyterlab,3111.0
1370,jenkinsci,robot-plugin,3106.0
1993,prismjs,prism,3102.0
805,ethyca,fides,3088.5555555555557
2229,spring-cloud,spring-cloud-netflix,3077.0
1672,mayan-edms,mayan-edms,3077.0
1670,mattkrick,sanitize-svg,3072.0
1524,kevva,decompress,3064.0
2098,rohe,pysaml2,3060.0
182,QwikDev,qwik,3059.0
1294,jenkinsci,job-dsl-plugin,3059.0
1913,openstack,tripleo-heat-templates,3045.6666666666665
1400,jenkinsci,swarm-plugin,3042.0
1223,jenkinsci,dashboard-view-plugin,3041.0
572,cisco,node-jose,3038.0
2050,pytroll,donfig,3038.0
2428,webpack,webpack-dev-middleware,3032.0
2045,python-rope,rope,3031.0
1783,neo4j-contrib,neo4j-apoc-procedures,3030.0
801,eta-dev,eta,3028.0
1698,microsoft,typed-rest-client,3017.0
1695,micropython,micropython,3014.3333333333335
